tes. ipca+  2045;tes. prefixado jur. sem. 2033;tes. prefixado 2029;tes. prefixado jur. sem. 2055;tes. selic 01/09/2027;PETR16;RUMOA2;CTEE29;CESPA2;ENGIA1
0.999446049;0.996560678;0.990329826;0.997071057;1.00034038;0.99882253;1.003168836;1.002245805;0.99970462;0.998968581
0.997904642;1.014841418;0.988823103;0.995452696;1.000392179;0.998054071;0.997318532;0.996787208;0.99852621;0.998552407
0.995445379;1.000900073;0.996826417;0.990771303;1.000527253;0.998184009;0.996519354;0.992451437;0.995162286;0.997992813
0.993393152;1.001166167;1.000560372;0.992548539;1.000392169;0.999827523;0.998689648;0.993621273;0.996563813;0.998738349
0.993348394;0.984781306;0.998203216;0.992276895;1.000397244;0.999369208;0.999166254;0.998757984;0.996783102;0.998811975
0.994854669;0.995801029;0.996467204;0.993087427;1.000346475;1.001278761;0.99940754;0.99496411;0.998458662;1.001389284
0.993833733;1.013051638;0.997457439;0.993033682;1.000357643;0.998967212;0.997868144;0.994882994;0.995550467;0.999050845
1.007441258;1.005856957;1.010800896;1.009232793;1.000430746;1.004566274;1.005138253;1.013856275;1.003842418;1.003683444
1.002208436;0.986052231;1.001023561;1.001966401;1.00045409;1.00115544;1.000247177;0.995627498;1.001092823;1.00033685
1.00070925;1.004903765;1.000425107;1.001007672;1.000508896;1.001651791;1.001828232;1.001178173;1.002984885;1.000521978
0.993074739;1.001327915;0.988133587;0.992055515;1.000464211;0.995600344;0.995082374;0.991579771;0.996340073;0.996594688
0.999434052;1.004768194;0.998701845;0.999939581;1.000520014;1.000495465;1.000713749;1.002495907;1.00141522;1.000918355
1.008538564;0.99524209;1.008980367;1.010191688;1.000463163;1.00414836;1.004410943;1.000377346;1.001683942;1.004089602
1.006384398;1.001961627;1.005590467;1.006934104;1.000547357;1.004034727;1.005420912;1.005745498;1.005171784;1.003093783
0.997904342;1.007023518;0.989939595;0.99693205;1.000419509;1.000643523;0.998128436;0.996217337;0.998646709;0.999507964
1.001465242;1.006044025;1.005084784;1.001463519;1.000474275;1.001186898;1.001203417;0.999781027;1.000746727;1.000359758
0.998874838;1.008281134;1.000913449;1.000189336;1.000579731;0.998548086;0.998065145;0.998330785;1.000071058;0.998925548
0.997606325;0.995278602;1.004918035;0.996941289;1.000569538;0.999508852;0.996983235;0.999876839;1.003889288;0.999614609
0.998832038;0.981099876;0.991344282;0.999517105;1.000439736;0.998354457;0.99748309;0.998109095;0.994770415;0.998601992
1.001792021;1.004939094;1.000878417;1.002864117;1.000440741;1.001137865;1.001336574;1.001930646;0.999889003;0.999510208
1.003031498;0.986890075;1.005213747;1.004142691;1.000417422;1.001792842;1.001212432;1.000550279;1.001420753;1.001250727
1.005348668;1.010494536;1.005160624;1.005516156;1.000423498;1.001292908;1.001979419;1.003042183;1.001562898;1.002054743
1.008019601;0.996636485;1.006693115;1.010037247;1.000418425;1.002854975;1.002647767;1.004508684;1.00314879;1.002557211
1.003995698;0.997426825;0.999464462;1.001730935;1.00048935;1.002336278;1.001503556;1.006150556;1.006103735;1.005112025
